web-scraper-order;web-scraper-start-url;produit;marque;taille;prix
1736665372-56;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de mie kids;;12 Pièces;1.390 DT
1736665372-57;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain burger;;2 Pièces-140GR Complet;1.430 DT
1736665372-58;https://www.geantdrive.tn/tunis-city/160-le-marche;Orange Thompson Navel AA;;Conditionné par 500g;1.490 DT/ Kg
1736665372-59;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain libanais (Raghif);;Ø15CM;1.490 DT
1736665372-60;https://www.geantdrive.tn/tunis-city/160-le-marche;Frites;;En portion;1.500 DT
1736665372-61;https://www.geantdrive.tn/tunis-city/160-le-marche;Malsouka plate;;12 feuilles;1.520 DT
1736665372-62;https://www.geantdrive.tn/tunis-city/160-le-marche;Malsouka warka;;12 feuilles;1.520 DT
1736665372-63;https://www.geantdrive.tn/tunis-city/160-le-marche;Pâte pâtissier samsa;;7 feuilles;1.520 DT
1736665372-64;https://www.geantdrive.tn/tunis-city/160-le-marche;Mille feuille au chocolat;;La pièce;1.550 DT
1736665372-65;https://www.geantdrive.tn/tunis-city/160-le-marche;Croissant amande pur b...;;La pièce;1.550 DT
1736665372-66;https://www.geantdrive.tn/tunis-city/160-le-marche;Malsouka;;10 feuilles;1.550 DT
1736665372-67;https://www.geantdrive.tn/tunis-city/160-le-marche;Malsouka semoule;;10 feuilles;1.590 DT
1736665372-68;https://www.geantdrive.tn/tunis-city/160-le-marche;Petit pain de campagne x5;;La barquette;1.600 DT
1736665372-69;https://www.geantdrive.tn/tunis-city/160-le-marche;Petit pain viennois x5;;La barquette;1.600 DT
1736665372-70;https://www.geantdrive.tn/tunis-city/160-le-marche;Oignon vert;;Conditionné par 500g;1.600 DT/ Kg
1736665372-71;https://www.geantdrive.tn/tunis-city/160-le-marche;Tête de fenouil;;Conditionné par 500g;1.600 DT/ Kg
1736665372-72;https://www.geantdrive.tn/tunis-city/160-le-marche;Navet avec fanes;;Conditionné par 500g;1.730 DT/ Kg
1736665372-73;https://www.geantdrive.tn/tunis-city/160-le-marche;Oignon rouge;;Conditionné par 1KG;1.730 DT/ Kg
1736665372-74;https://www.geantdrive.tn/tunis-city/160-le-marche;Malsouka;;10 feuilles;1.730 DT
1736665372-75;https://www.geantdrive.tn/tunis-city/160-le-marche;Chou fleur;;Conditionné par 1KG;1.730 DT/ Kg
1736665372-76;https://www.geantdrive.tn/tunis-city/160-le-marche;Malsouka;;10 Feuilles;1.740 DT
1736665372-77;https://www.geantdrive.tn/tunis-city/160-le-marche;Malsouka;;10 Feuilles;1.740 DT
1736665372-78;https://www.geantdrive.tn/tunis-city/160-le-marche;Petit pain complet x5;;La barquette;1.800 DT
1736665372-79;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain complet;;La pièce;1.800 DT
1736665372-80;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain libanais nature;;Le sachet;1.850 DT
1736665372-81;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain libanais complet;;Le sachet;1.850 DT
1736665372-82;https://www.geantdrive.tn/tunis-city/160-le-marche;Petit pain viennois au...;;La barquette;1.900 DT
1736665372-83;https://www.geantdrive.tn/tunis-city/160-le-marche;Malsouka;;10 Feuilles Semoule;1.940 DT
1736665372-84;https://www.geantdrive.tn/tunis-city/160-le-marche;Malsouka;;10 Feuilles;1.940 DT
1736665372-85;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain parisien de campagne;;La pièce;1.950 DT
1736665372-86;https://www.geantdrive.tn/tunis-city/160-le-marche;Petit pain aux céréale...;;La barquette;2.000 DT
1736665372-87;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain aux céréales;;La pièce;2.000 DT
1736665372-88;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de mie blanc;;14 Tranches;1.790 DT
1736665372-89;https://www.geantdrive.tn/tunis-city/160-le-marche;Mini jambon de dinde;;100GR;2.040 DT
1736665372-90;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de campagne 400g;;La pièce;2.050 DT
1736665372-91;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de campagne en Bo...;;La pièce;2.050 DT
1736665372-92;https://www.geantdrive.tn/tunis-city/160-le-marche;Orange douce A;;Conditionné par 500g;2.070 DT/ Kg
1736665372-93;https://www.geantdrive.tn/tunis-city/160-le-marche;Carotte sans fanes;;Conditionné par 500g;2.070 DT/ Kg
1736665372-94;https://www.geantdrive.tn/tunis-city/160-le-marche;Poireau;;Conditionné par 500g;2.070 DT/ Kg
1736665372-95;https://www.geantdrive.tn/tunis-city/160-le-marche;Salade batavia rouge;;La pièce;2.090 DT
1736665372-96;https://www.geantdrive.tn/tunis-city/160-le-marche;Salade feuille de chên...;;La pièce;2.090 DT
1736665372-97;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de mie en tranches;;250g Nature;2.100 DT
1736665372-98;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de mie nature;;15 Tranches;2.130 DT
1736665372-99;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de mie complet;;15 Tranches;2.130 DT
