web-scraper-order;web-scraper-start-url;produit;marque;taille;prix
1736667595-2865;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Shampooing antipellicu...;HEAD & SHOULDERS;400ML Menthol +...;14.990 DT
1736667595-2866;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Brosse pneumatique;TITANIA;Ref: 2820 18CM En bois...;14.990 DT
1736667595-2867;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Shampooing;HEAD & SHOULDERS;400ML Menthol;14.990 DT
1736667595-2868;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Gel à raser;GILLETTE MACH III;75ML;13.900 DT
1736667595-2869;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Shampooing antpellicul...;HEAD & SHOULDERS;400ML Citron +200ML...;14.990 DT
1736667595-2870;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Gel antiseptique;ASEPTIKA;500ML;15.030 DT
1736667595-2871;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Bain de bouche;COLGATE PLAX;500ML Optic white;13.490 DT
1736667595-2872;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Bain de bouche;COLGATE PLAX;500ML;13.490 DT
1736667595-2873;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Bain de bouche;COLGATE PLAX;500ML Fraicheur vert;13.490 DT
1736667595-2874;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Bain des pieds;TITANIA;250GR Foot care -...;15.190 DT
1736667595-2875;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Huile d'argan multiusage;SATINELLA;30ML Visage, ongles et...;15.190 DT
1736667595-2876;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Bain de bouche;COLGATE;500ML White charcoal;13.490 DT
1736667595-2877;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Déodorant pour femme;SANEX;200ML Pierre d'alun -...;10.990 DT
1736667595-2878;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Déodorant homme;SANEX;200ML Zéro-Respect...;10.990 DT
1736667595-2879;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Déodorant;SANEX;200ML Zéro-Extra control;10.990 DT
1736667595-2880;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Déodorant pour femme;SANEX;200ML Dermo sensitive;10.990 DT
1736667595-2881;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Déodorant homme;SANEX;200ML Active contrôle;10.990 DT
1736667595-2882;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Déodorant pour femme;SANEX;200ML Pierre d'alun -...;10.990 DT
1736667595-2883;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Déodorant pour femme;SANEX;200ML Pierre d'alun -...;10.990 DT
1736667595-2884;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Déodorant homme;SANEX;200ML Pierre d'alun;10.990 DT
1736667595-2885;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Crème mains hydratante;LE PETIT OLIVIER;75ML Huile d'olive;15.200 DT
1736667595-2886;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Déodorant homme;SANEX;200ML Nature Protect...;10.990 DT
1736667595-2887;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Déodorant;SANEX;200ML Zéro-Sensitive;10.990 DT
1736667595-2888;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Huile remplacement;ULTRA DOUX;200ML Trésor de miel;15.230 DT
1736667595-2889;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Huile remplacement;ULTRA DOUX;200ML Avocat shea;15.230 DT
1736667595-2890;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Shampooing;TECHNO CARE;400ML Detox argile verte;15.290 DT
1736667595-2891;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Gel douche;MALIZIA;1000 ML;15.290 DT
1736667595-2892;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Bain douche;MALIZIA;1000ML Bergamote;15.290 DT
1736667595-2893;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Masque capillaire;RENEE BLANCHE;500ML Nutritif et...;15.290 DT
1736667595-2894;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Masque capillaire;ECLAT PRO;250ML Silver;15.290 DT
1736667595-2895;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Masque capillaire;TECHNO CARE;400ML Huile d'olive;15.290 DT
1736667595-2896;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Gel douche 3en1;MALIZIA;1000ML;15.290 DT
1736667595-2897;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Shampooing;TECHNO CARE;400ML Olive;15.290 DT
1736667595-2898;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Masque capillaire;RENEE BLANCHE;500ML Anti chute;15.290 DT
1736667595-2899;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Brosse pneumatique;TITANIA;9 Rangés R 1830;15.290 DT
1736667595-2900;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Masque capillaire;TECHNO CARE;400ML Kératine;15.290 DT
1736667595-2901;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Gel douche;MALIZIA;1000ML;15.290 DT
1736667595-2902;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Huile cheveux et corps;NATUR ORIENT;50ML Noisette;15.290 DT
1736667595-2903;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Masque capillaire;TECHNO CARE;400ML Detox argile verte;15.290 DT
1736667595-2904;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Shampooing;TECHNO CARE;400ML Kératine;15.290 DT
1736667595-2905;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Gel douche 3en1;MALIZIA;1000ML Miel-Gingembre;15.290 DT
1736667595-2906;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Masque capillaire;TECHNO CARE;400ML Karité;15.290 DT
1736667595-2907;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Gel douche 3en1;MALIZIA;1000ML Talc;15.290 DT
1736667595-2908;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Shampooing;TECHNO CARE;400ML Karité;15.290 DT
1736667595-2909;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Gel douche 3en1;MALIZIA;1000 ML;15.290 DT
1736667595-2910;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Shampooing pour femme;LILAS;400ML Suprême Cheveux...;15.370 DT
1736667595-2911;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Shampooing pour femme;LILAS;400ML Avocat Suprême...;15.370 DT
1736667595-2912;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Shampooing pour femme;LILAS;400ML Kératine Suprême...;15.370 DT
1736667595-2913;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Shampooing pour femme;LILAS;400ML Suprême Cheveux...;15.370 DT
1736667595-2914;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Shampooing pour femme;LILAS;400ML Suprême Cheveux...;15.370 DT
1736667595-2915;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Shampooing pour femme;LILAS;400ML Suprême Cheveux...;15.370 DT
1736667595-2916;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Crème douche;LE PETIT OLIVIER;500ML Vanille;15.390 DT
1736667595-2917;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Bandes dépilatoires corps;VEET;10 Pièces;15.390 DT
1736667595-2918;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Crème douche;LE PETIT OLIVIER;500ML Fleur d'oranger;15.390 DT
1736667595-2919;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Crème douche;LE PETIT OLIVIER;500ML Fleur de cerisier;15.390 DT
1736667595-2920;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Crème douche;LE PETIT OLIVIER;500ML Noix de coco;15.390 DT
1736667595-2921;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Masque visage tissu am...;GARNIER;Acide hyaluronique...;15.390 DT
