web-scraper-order;web-scraper-start-url;produit;marque;taille;prix
1736613405-698;https://www.geantdrive.tn/tunis-city/10-boissons;Liqueur;PASTISSON MARSEILLE;100CL;60.990 DT
1736613405-699;https://www.geantdrive.tn/tunis-city/10-boissons;Cocktail;DIVA DI SERA;75CL Peach & moscata;61.900 DT
1736613405-700;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;BELVEDERE;20CL Pure;61.900 DT
1736613405-701;https://www.geantdrive.tn/tunis-city/10-boissons;Cocktail;DIVA DI SERA;75CL Pineapple & moscato;61.900 DT
1736613405-702;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;MC DOWELL AND SONS;100CL;58.990 DT
1736613405-703;https://www.geantdrive.tn/tunis-city/10-boissons;Liqueur;CEDRATINE;1L;62.500 DT
1736613405-704;https://www.geantdrive.tn/tunis-city/10-boissons;Vin grenache blanc AOC;WINE SHOT BY KURUBIS;75CL 13.5°;62.900 DT
1736613405-705;https://www.geantdrive.tn/tunis-city/10-boissons;Vin rouge AOC;WINE SHOT BY KURUBIS;75CL 12.5°;62.900 DT
1736613405-706;https://www.geantdrive.tn/tunis-city/10-boissons;Apéritif;DIVA DI SERA;75CL Cherry Moscato;62.900 DT
1736613405-707;https://www.geantdrive.tn/tunis-city/10-boissons;Apéritif;DIVA DI SERA;75CL Mango Moscato;62.900 DT
1736613405-708;https://www.geantdrive.tn/tunis-city/10-boissons;Anisette;SAINT SYLVAIN;1 L;59.990 DT
1736613405-709;https://www.geantdrive.tn/tunis-city/10-boissons;Vin rouge;JOUR ET NUIT;150CL Amour;63.990 DT
1736613405-710;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;FINLANDIA;70Cl Cranberry;64.900 DT
1736613405-711;https://www.geantdrive.tn/tunis-city/10-boissons;Rhum;BELLE CANNE;1L Blanc;64.900 DT
1736613405-712;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;FINLANDIA;70Cl Mango;64.900 DT
1736613405-713;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;FINLANDIA;70Cl Currant;64.900 DT
1736613405-714;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;FINLANDIA;70Cl Limon;64.900 DT
1736613405-715;https://www.geantdrive.tn/tunis-city/10-boissons;Rhum;OLD NICK;70CL Mojito;65.990 DT
1736613405-716;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;GREY GOOSE;20CL;66.900 DT
1736613405-717;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;ABSOLUT BLUE;50CL Rosemay;66.900 DT
1736613405-718;https://www.geantdrive.tn/tunis-city/10-boissons;Coffret;SELIAN;2x75CL Vin rouge;66.900 DT
